,timestamp,open,high,low,Close,Volume,VolumeUSD,Rsi,BBup,BBmid,BBlow,minterm,mintermr,maxterm,maxtermr,DivergenceSignal,Signal2
164,1716969600000,66686.65,69334.8,66371.18,68141.0,5557.881763,378876377.2394282,66.32401242806641,68447.77057493747,65745.56500000003,63043.35942506258,False,False,True,True,0.0,0
167,1716958800000,65846.99,68739.89,65428.2,68517.56,4555.578534,303907138.0269777,64.2376660491086,69153.70065924087,66343.88214285718,63534.063626473486,False,False,True,True,0.0,0
173,1716937200000,65851.8,69102.6,65619.6,68358.24,4062.223126,274668926.80043274,60.64104197445398,69156.50183278557,67187.87000000004,65219.23816721451,False,False,True,True,0.0,0
179,1716915600000,63297.6,67477.2,63243.38,66338.76,6246.437748,409139793.87258554,51.7922533858364,68942.22429435806,66495.00214285716,64047.77999135626,False,False,True,True,0.0,0
182,1716904800000,64458.6,65268.41,63900.7,64624.05,1786.135108,115371826.23148276,46.24007452451752,68664.01512259214,65814.14785714287,62964.2805916936,False,False,True,True,0.0,0
188,1716883200000,66084.77,67202.3,65655.35,66801.36,2136.7699,142153278.85227352,56.06848031526579,67062.95292417484,65151.69785714288,63240.442790110916,False,False,True,True,0.0,0
2,,,,,,,,,,,,,,,,-1.0,0
3,,,,,,,,,,,,,,,,-1.0,0
5,,,,,,,,,,,,,,,,1.0,0
9,,,,,,,,,,,,,,,,-1.0,0
11,,,,,,,,,,,,,,,,-1.0,0
12,,,,,,,,,,,,,,,,-1.0,0
13,,,,,,,,,,,,,,,,-1.0,0
14,,,,,,,,,,,,,,,,-1.0,0
15,,,,,,,,,,,,,,,,-1.0,0
17,,,,,,,,,,,,,,,,1.0,0
19,,,,,,,,,,,,,,,,1.0,0
21,,,,,,,,,,,,,,,,1.0,0
24,,,,,,,,,,,,,,,,-1.0,0
28,,,,,,,,,,,,,,,,1.0,0
33,,,,,,,,,,,,,,,,1.0,0
