Date,Open,High,Low,Close,Volume,Rsi,BBup,BBmid,BBlow,VolumeDelta,minterm,maxterm,mintermr,maxtermr,DivergenceSignal,Signal1,Signal2
2015-10-08,46.560001373291016,47.52000045776367,46.5,47.45000076293945,33772700,69.13705522901923,47.66115031910215,44.89499991280692,42.128849506511685,6061200.0,False,True,False,True,-1,0,0
2015-10-26,52.529998779296875,54.31999969482422,52.5,54.25,64633300,84.18570200409117,52.660531643544054,48.15642820085798,43.65232475817191,-70593800.0,False,True,False,True,0,0,0
2015-11-06,54.09000015258789,54.97999954223633,53.959999084472656,54.91999816894531,32851200,76.48066028513253,57.681495365684874,52.491428647722515,47.301361929760155,1382700.0,False,True,False,True,0,0,0
2015-11-24,53.91999816894531,54.439998626708984,53.58000183105469,54.25,24600000,63.97651124491745,54.942873688643814,53.85285677228655,52.762839855929286,-3635900.0,False,True,False,True,0,0,0
2015-12-01,54.40999984741211,55.22999954223633,54.29999923706055,55.220001220703125,39952800,67.3514164877817,55.02432308983939,53.86857114519392,52.712819200548445,-16288600.0,False,True,False,True,0,0,0
2015-12-16,55.540000915527344,56.25,54.7599983215332,56.130001068115234,37503300,62.268940907410084,56.45879727177112,55.085714612688335,53.71263195360555,-2339700.0,False,True,False,True,0,0,0
2015-12-29,56.290000915527344,56.849998474121094,56.060001373291016,56.54999923706055,27731400,61.38329825529931,56.70272682825003,55.34142875671387,53.980130685177706,5273100.0,False,True,False,True,0,0,0
2016-01-14,52.0,53.41999816894531,51.56999969482422,53.11000061035156,52381900,45.00452484256929,57.49026880308808,54.15642820085798,50.822587598627884,-14501700.0,False,True,False,True,0,0,0
2016-01-22,51.40999984741211,52.33000183105469,51.2599983215332,52.290000915527344,37555800,46.01945869102823,55.23291198762997,52.38142858232771,49.529945177025446,-2635400.0,False,True,False,True,0,0,0
2016-01-29,54.72999954223633,55.09000015258789,54.0,55.09000015258789,83611700,59.05628748472028,54.290470528096066,51.94785744803293,49.60524436796979,21097900.0,False,True,False,True,0,0,0
2016-02-17,51.4900016784668,52.77000045776367,51.45000076293945,52.41999816894531,40789000,52.93521755891337,55.14619827870241,51.51999964032854,47.89380100195468,3497800.0,False,True,False,True,0,0,0
2016-02-22,52.279998779296875,53.0,52.279998779296875,52.650001525878906,25008300,53.927254051845196,53.69496228678186,51.1485710144043,48.602179742026735,-8550800.0,False,True,False,True,0,0,0
